no,d1,d2,d3
1,-10,-10,0.00295959
2,-10,-8,-0.006727897
3,-10,-6,0.002533465
4,-10,-4,0.010292913
5,-10,-2,-0.02473385
6,-10,0,-0.054402111
7,-10,2,-0.02473385
8,-10,4,0.010292913
9,-10,6,0.002533465
10,-10,8,-0.006727897
11,-10,10,0.00295959
12,-8,-10,-0.006727897
13,-8,-8,0.015294215
14,-8,-6,-0.005759209
15,-8,-4,-0.0233984
16,-8,-2,0.056226307
17,-8,0,0.123669781
18,-8,2,0.056226307
19,-8,4,-0.0233984
20,-8,6,-0.005759209
21,-8,8,0.015294215
22,-8,10,-0.006727897
23,-6,-10,0.002533465
24,-6,-8,-0.005759209
25,-6,-6,0.002168695
26,-6,-4,0.008810931
27,-6,-2,-0.021172649
28,-6,0,-0.04656925
29,-6,2,-0.021172649
30,-6,4,0.008810931
31,-6,6,0.002168695
32,-6,8,-0.005759209
33,-6,10,0.002533465
34,-4,-10,0.010292913
35,-4,-8,-0.0233984
36,-4,-6,0.008810931
37,-4,-4,0.035796876
38,-4,-2,-0.08601982
39,-4,0,-0.189200624
40,-4,2,-0.08601982
41,-4,4,0.035796876
42,-4,6,0.008810931
43,-4,8,-0.0233984
44,-4,10,0.010292913
45,-2,-10,-0.02473385
46,-2,-8,0.056226307
47,-2,-6,-0.021172649
48,-2,-4,-0.08601982
49,-2,-2,0.206705453
50,-2,0,0.454648713
51,-2,2,0.206705453
52,-2,4,-0.08601982
53,-2,6,-0.021172649
54,-2,8,0.056226307
55,-2,10,-0.02473385
56,0,-10,-0.054402111
57,0,-8,0.123669781
58,0,-6,-0.04656925
59,0,-4,-0.189200624
60,0,-2,0.454648713
61,0,0,1
62,0,2,0.454648713
63,0,4,-0.189200624
64,0,6,-0.04656925
65,0,8,0.123669781
66,0,10,-0.054402111
67,2,-10,-0.02473385
68,2,-8,0.056226307
69,2,-6,-0.021172649
70,2,-4,-0.08601982
71,2,-2,0.206705453
72,2,0,0.454648713
73,2,2,0.206705453
74,2,4,-0.08601982
75,2,6,-0.021172649
76,2,8,0.056226307
77,2,10,-0.02473385
78,4,-10,0.010292913
79,4,-8,-0.0233984
80,4,-6,0.008810931
81,4,-4,0.035796876
82,4,-2,-0.08601982
83,4,0,-0.189200624
84,4,2,-0.08601982
85,4,4,0.035796876
86,4,6,0.008810931
87,4,8,-0.0233984
88,4,10,0.010292913
89,6,-10,0.002533465
90,6,-8,-0.005759209
91,6,-6,0.002168695
92,6,-4,0.008810931
93,6,-2,-0.021172649
94,6,0,-0.04656925
95,6,2,-0.021172649
96,6,4,0.008810931
97,6,6,0.002168695
98,6,8,-0.005759209
99,6,10,0.002533465
100,8,-10,-0.006727897
101,8,-8,0.015294215
102,8,-6,-0.005759209
103,8,-4,-0.0233984
104,8,-2,0.056226307
105,8,0,0.123669781
106,8,2,0.056226307
107,8,4,-0.0233984
108,8,6,-0.005759209
109,8,8,0.015294215
110,8,10,-0.006727897
111,10,-10,0.00295959
112,10,-8,-0.006727897
113,10,-6,0.002533465
114,10,-4,0.010292913
115,10,-2,-0.02473385
116,10,0,-0.054402111
117,10,2,-0.02473385
118,10,4,0.010292913
119,10,6,0.002533465
120,10,8,-0.006727897
121,10,10,0.00295959
